index,actual,predictions,delta
count,503.0,503.0,503.0
mean,17.701197874474953,17.19731555354761,0.553750295999273
std,3.9390701962606762,3.5398690396082735,0.4943798400719595
min,10.097728729248047,10.027931213378906,0.0009937286376953125
25%,15.035064220428467,14.825180530548096,0.18797588348388672
50%,17.01456069946289,16.693437576293945,0.4008951187133789
75%,20.561599731445312,19.891040802001953,0.7558116912841797
max,27.515295028686523,25.390445709228516,2.579965591430664
